台灣用語,中國用語,分類
晶片,芯片,technology
軟體,軟件,technology
硬體,硬件,technology
網路,網絡,technology
資訊,信息,technology
程式,程序,technology
伺服器,服務器,technology
數位,數字,technology
滑鼠,鼠標,technology
記憶體,內存,technology
硬碟,硬盤,technology
檔案,文件,technology
資料庫,數據庫,technology
使用者,用戶,technology
計程車,出租車,daily
捷運,地鐵,daily
公車,公交車,daily
機車,摩托車,daily
停車場,停車場,daily
影片,視頻,daily
遊戲,游戲,daily
行動電話,手機,daily
簡訊,短信,daily
帳號,賬號,daily
頻道,頻道,daily
品質,質量,quality
素質,素質,quality
畫質,畫質,quality
音質,音質,quality
研究,研究,academic
資料,數據,academic
分析,分析,academic
系統,系統,academic
模型,模型,academic
企業,企業,business
公司,公司,business
產品,產品,business
品牌,品牌,business
行銷,營銷,business
客戶,客戶,business
奶油,黃油,food
馬鈴薯,土豆,food
番茄,西紅柿,food
鳳梨,菠蘿,food
起司,奶酪,food
足球,足球,sports
籃球,籃球,sports
棒球,棒球,sports
桌球,乒乓球,sports
羽球,羽毛球,sports
雷射,激光,medical
癌症,癌症,medical
基因,基因,medical
手術,手術,medical
打印,列印,tech
鼠標,滑鼠,tech
激活,啟動,tech
默認,預設,tech
兼容,相容,tech
在線,線上,tech
離線,離線,tech
